1441485001,26.25,22.75
1441485601,23.00,22.75
1441486201,22.50,22.75
1441486801,22.25,22.25
1441487401,22.12,22.12
1441488001,22.06,22.00
1441488601,22.18,22.75
1441489202,22.18,22.81
1441489801,22.25,22.56
1441490401,22.06,22.18
1441491001,21.68,21.81
1441491601,21.31,21.37
1441492201,21.25,22.06
1441492801,21.25,22.06
1441493401,21.56,22.06
1441494001,21.56,21.68
1441494601,21.50,21.50
1441495201,21.50,21.43
1441495801,21.62,22.25
1441496401,21.75,22.31
1441497001,21.81,22.18
1441497601,21.75,21.87
1441498201,21.62,21.68
1441498801,21.56,21.56
1441499401,21.68,22.25
1441500001,21.81,22.37
1441500601,21.87,22.31
1441501201,21.81,21.87
1441501801,21.62,21.68
1441502401,21.62,21.62
1441503001,21.68,22.31
1441503601,21.75,22.37
1441504201,21.81,22.25
1441504801,21.68,21.81
1441505401,21.56,21.62
1441506001,21.50,21.56
1441506601,21.62,22.25
1441507201,21.68,22.31
1441507801,21.75,22.25
1441508401,21.62,21.81
1441509001,21.50,21.56
1441509601,21.43,21.50
1441510201,21.50,22.06
1441510801,21.62,22.18
1441511401,21.75,22.00
1441512001,21.62,21.68
1441512601,21.50,21.56
1441513201,21.43,21.50
1441513801,21.56,22.12
1441514401,21.68,22.25
1441515001,21.68,22.18
1441515601,21.56,21.68
1441516201,21.37,21.50
1441516801,21.37,21.37
1441517401,21.43,22.12
1441518001,21.50,22.18
1441518601,21.56,22.00
1441519201,21.43,21.56
1441519801,21.31,21.37
1441520401,27.56,21.62
1441521001,28.31,22.18
1441521601,28.31,22.31
1441522201,28.43,22.31
1441522801,28.37,22.00
1441523401,28.56,21.93
1441524001,28.68,21.87
1441524601,28.68,22.25
1441525201,28.81,22.37
1441525801,28.81,22.37
1441526401,28.93,22.12
1441527001,29.06,22.12
1441527601,29.12,22.00
1441528201,29.37,22.31
1441528801,29.06,22.37
1441529401,29.00,22.37
1441530001,29.06,22.06
1441530601,29.06,21.87
1441531201,29.06,21.81
1441531801,28.81,22.18
1441532401,28.75,22.31
1441533001,28.81,22.31
1441533601,28.87,22.00
1441534201,28.93,21.87
